End_Year,Annual_DegD_Anomaly,Annual_DegD_SD,Annual_DegD_Mean,Annual_DegD_Anomaly_SE,mean_SSC_Anomaly,mean_SSC,se_SSC_Anomaly,se_SSC,median_SSC_Anomaly,mean_NDVI_Anomaly,mean_NDVI,se_NDVI_Anomaly,se_NDVI,Q_MAX_5yr,Q_Mean_norm_Annual,Q_Max_norm_Annual,Q_MEAN_5yr,Q_MAX_baseline,Q_MAX_baseline_SD,Q_MEAN_baseline,Q_MEAN_baseline_SD,Q_MAX_Anomaly,Q_MEAN_Anomaly,Perc_Lost_Anomaly,Perc_Lost_Anomaly_SE
1990,0.869035288345953,991.3791653119,6741.40587705783,0.0112736502647097,0.0678932548368045,148.813321793281,0.02305078002242,1.7578394990106,-0.0753710226106016,-0.0114758609598921,0.192531628651539,0.0231157242570861,0.000958043367710311,1.00884632153046,1.0051763217037,0.980313469103606,1.02281973754566,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,0.283464227609069,0.331308653133474,0.220204774054168,0.0195765122662254
1991,1.28042843638293,1025.26460348695,6839.55398663149,0.00382893881424039,0.0394026385491531,147.033092328818,0.0203519838858074,1.70541785981875,-0.0871589302323852,0.00415836222213787,0.192762377898311,0.0207977916897409,0.000932728376644146,0.981125981000801,1.09124450826261,1.00988827623007,1.03269933751256,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,-0.041062773098823,0.457393743167529,0.0107575091513939,0.0195370942095368
1992,1.30476055441976,1071.48060858591,6848.87159813928,0.00396950139142338,0.0338807024231419,146.690580135818,0.0188596965068294,1.72493693913241,-0.0242799000407558,-0.0263040022586923,0.192471563633266,0.0200566237017501,0.000946553136011924,1.08039722211806,1.14143236253855,1.30610435021165,1.07306396852941,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,1.12112345985401,0.972533845297446,0.138347187826438,0.0210803493612375
1993,0.649883376284734,1036.14129711121,6705.75826449824,0.00633557084087667,0.0249165866782033,146.02921002162,0.0175492698487655,1.7200312616989,-0.0632758604549961,0.0741148306417791,0.193556199396455,0.0173950337492606,0.000948143778219171,1.05438183089337,0.969323950513666,1.01589536491345,1.0360271135699,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,0.816556606594845,0.49986337201978,0.107267436703274,0.0185317131222779
1994,-0.307326030201843,1044.52276951348,6490.01790688467,0.0105785531783148,0.0557099863167222,146.337233121603,0.0170590353611704,1.75616492013417,0.0143705945300239,0.0325529260292182,0.193065965621197,0.0162904040886889,0.000933858329324068,1.04838962087668,0.925875342898525,0.929746643924601,1.02661049718341,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,0.746404728689541,0.379686955071197,-0.0146076514131467,0.0191571669446186
1995,0.253462508742094,1029.66900395895,6606.89411717088,0.00504064161359645,0.0616114497195945,147.515522343808,0.0172428467176958,1.83200686414246,0.0190320134911416,-0.0450494470978225,0.192464217462441,0.0165757521978904,0.00095749373804017,0.979658945715775,0.698617253750712,0.6366600932991,0.965298683592812,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,-0.0582376184248727,-0.402784558211043,-0.247457895669705,0.0169258476003828
1996,0.628167419512561,943.09785561069,6684.95255420792,0.0158809814773113,0.0694484814475151,147.383839130295,0.0170166153366451,1.81109823737285,0.0100277180006062,0.0845269599325308,0.19404822154627,0.0166832046555786,0.00101036729892706,0.983526353517611,1.05101714678146,1.02922531523925,0.957253211296582,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,-0.0129611813226181,-0.505462207329981,-0.152891307334698,0.0184647650837667
1997,0.804120664563038,989.243500638155,6717.36314274024,0.0178030277676031,0.0325312907538744,146.34478631213,0.0170962571672196,1.80935656929772,-0.0290252841962361,0.308474080241252,0.196532252042068,0.0169173216713315,0.00104037290986252,0.94977283215664,1.30202508754863,1.1373367434068,0.989371756298598,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,-0.408119712614311,-0.0955600198010625,0.0912867648944238,0.020154548409678
1998,1.09775816655417,1033.99797319228,6778.33946458572,0.0210014860046048,0.0341331182872492,145.802217994108,0.0173767560056616,1.80338835560543,-0.0585213180661956,0.422844440272964,0.197849053235542,0.0162008945707969,0.00104548963906643,0.971159842592558,1.10613934230449,1.12283041709304,1.01673483465676,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,-0.157738143764145,0.253652115301344,0.224318148622381,0.0180143644562612
1999,1.00669807416053,1023.38789721362,6760.06007618757,0.0169490154454136,-0.0412447400771975,144.590382186395,0.0171235187846387,1.7808073570643,-0.11296141382126,0.278465574551363,0.196121422291346,0.0159993573213752,0.00104184546311587,0.972113756727477,0.883930375952203,0.934516214599197,1.0083458412675,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,-0.146570499816663,0.146590393134,0.0857181383914108,0.0182689205561718
2000,0.50129137340358,1030.51512041994,6649.40127364985,0.0143957366502072,-0.0540443127401677,143.601135027095,0.017469168649255,1.74917595329303,-0.166900851250154,-0.0183615203364458,0.192106803005946,0.0149398616737927,0.00100664625786109,0.98285839577316,0.922676271716284,0.690383288527517,1.05315764486061,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,-0.0207810824949765,0.718486047771565,0.00392163058442541,0.0190319481358796
2001,0.219507122094651,1011.40047418036,6587.12307865446,0.013201630205227,-0.0867982557709667,144.045613915286,0.017436944250861,1.78744341683033,-0.217428667643661,-0.106292505425283,0.19049430207647,0.0159683001897677,0.000991306924084232,0.970642222675878,1.07718122432809,0.968144449752835,1.05839046036994,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,-0.163798013010239,0.785268105429331,-0.12584254845866,0.0168732252537775
2002,0.0335525241569098,1065.92430913898,6547.61543941572,0.0101337136605789,-0.0986451328655211,143.668329980653,0.0173833651694657,1.75819232115117,-0.242255506619586,-0.261561524059805,0.188243425114718,0.0176023624299432,0.00101539857858521,0.952995113510248,1.04387441134937,1.04910119757865,1.00676032513009,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,-0.370395886602702,0.126355773756112,0.192702873043989,0.0190402891987404
2003,-1.07328467801624,1072.59581631909,6298.98925944416,0.0067975519843494,,143.68715574574,,1.77742296892553,,-0.442785169012816,0.186148898967,0.0179045201626703,0.00100903212892115,0.948774495758671,1.05795930905488,1.10172732833516,0.997124318480165,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,-0.419807415966426,0.00337946195251223,-0.0487384860677706,0.0163729531508443
2004,-0.956625632938885,1110.23290571773,6326.16449303389,0.00878101492499962,-0.0528472419287019,144.584087494776,0.0192054265556542,1.79261668949572,-0.16971271911871,-0.346985278931225,0.187244998280784,0.0189729821759991,0.000981683375221131,0.960469611119117,0.902258613258943,0.992991791401426,1.00078996594151,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,-0.282890601874713,0.0501610615866838,-0.155122088884544,0.0157071732148505
2005,-0.151941336780097,1033.33033253181,6513.62963728924,0.00708425130514782,-0.00902305608146439,145.887803119641,0.0208668767988807,1.81556752532877,-0.146357449341676,-0.0405752210166232,0.190839139016338,0.0198577502071568,0.000976116650153679,1.0202923494379,1.10516390130855,0.989496980121407,1.03728749185997,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,0.417464930192226,0.515948528373507,-0.109105536608216,0.0185325875567158
2006,-0.679802299751629,976.043364637681,6399.44125289086,0.0110542002169762,0.030202529311166,146.505681284139,0.0232695749404809,1.82968831080376,-0.134123657576555,0.0942533552073574,0.192688369122188,0.0211631921551857,0.000967172341681102,1.05085430237404,1.06371885145416,1.12095421443355,1.03459501728518,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,0.775259197240653,0.481586722195734,-0.221592126729118,0.0173247664203266
2007,0.253206934549013,973.125954416137,6607.50476112209,0.0111659898364129,,147.209886170884,,1.8466173704413,,0.392266795563808,0.196020144544352,0.0231155601733295,0.000955795063038998,1.02170470781515,1.11013808223088,0.90335322478419,1.04784775146148,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,0.433999663147741,0.650720309326321,0.0531599037533384,0.022064588999796
2008,0.0771041104004471,924.995094192218,6569.43808683916,0.0151126777167006,0.215232912752089,148.593114427739,0.0396195858994603,1.85619262956477,-0.060947879223864,0.501559496718066,0.197126811654466,0.0238121701718932,0.000975388507856556,0.994301264249754,1.05733780115223,0.964710110508199,1.04772344988095,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,0.113182632064392,0.649133951981382,-0.00939778814331433,0.0252211665620954
2009,-0.146250669758394,1067.7661275817,6515.9886062414,0.00940839211426463,,148.510030875189,,1.86493810815704,,0.391394009859766,0.196009758571,0.0258973285349842,0.000987597215156634,0.99126224025257,1.08351207071786,0.977796671415506,1.08397414137274,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,0.0776042328080689,1.11177127695938,-0.0130134263243059,0.0289019013451393
2010,0.43525371175983,1090.37736652744,6648.61859046148,0.0102140429811625,0.270859732718088,148.348311669985,0.0496728743963165,1.88004228485554,-0.0696227276870092,0.233439214604409,0.194576448245679,0.0267547703920855,0.000970462550776654,0.968522779232225,0.955374581190233,0.875799675019682,1.05401627734907,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,-0.188610717717191,0.729444057708854,0.0450990406457732,0.0218517010039117
2011,0.154202274935081,1070.87047269651,6587.87457173706,0.0108484686011518,,148.142993882481,,1.90349205972546,,0.170116241310638,0.193812027967471,0.0283781352373375,0.00096159181232385,0.951078300238713,0.947230369524437,1.03373181946599,1.03071858096313,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,-0.392836363524799,0.432115000231821,0.240281515815768,0.0303007799291736
2012,0.437108109974059,1139.18187800241,6645.67337786478,0.0148694843334553,0.212466075282015,147.99007174123,0.0535416939644249,1.90108109174283,-0.129416065235688,0.2496059724984,0.194593356694861,0.0304676164989779,0.000929401220912242,1.0062193559773,1.0391225136592,1.17905850347713,1.01651546724879,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,0.252709870496552,0.250852512131476,0.0872329288503606,0.021550090671431
2013,1.63953460910577,1091.34518539666,6911.37955574519,0.0160353972331424,0.128338701273648,146.106076227375,0.0524196441065474,1.889764666838,-0.219334797209767,0.582070366169807,0.197894991166262,0.0339963094217434,0.000901999599056129,1.05633032278425,1.08133372109923,1.21526494454296,1.02131465123819,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,0.839367950798029,0.312100492557915,0.17154028227285,0.0256720171185708
2014,2.25754669652061,1099.74336849807,7048.44643322576,0.020716947631659,,143.786035386942,,1.86783479485426,,1.01682578631325,0.202096288258785,0.0366275769202516,0.00089649499121412,1.02286913502062,0.903752166602239,0.810490732597339,0.985362670415069,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,0.447631821386595,-0.14672463742452,0.320257707194613,0.0278380335269667
2015,2.54800950291858,1149.33813714935,7113.41998810986,0.0203591938931281,,141.663223613319,,1.83258952997645,,1.34057829390222,0.205110931788539,0.0392267882432619,0.000888814024165892,1.02357641603425,0.850770232382774,0.879336080087817,0.964441800653577,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,0.455912087127356,-0.41372024011153,0.319676838791958,0.0235393908565146
2016,2.35045202949513,1175.55394988726,7073.1759553905,0.0164733861022453,-0.207256645860288,140.014825340145,0.0455688849447759,1.8129933893352,-0.455314492838091,1.67087166998403,0.208338708549619,0.0418808057283473,0.000878876012113799,0.993190328710064,0.92829155399764,0.88180138284507,0.960654037548218,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,0.100176710355395,-0.462060299806969,0.187301628840111,0.0217820683912132
2017,1.66402303639143,1142.89654192187,6921.15607434548,0.0166762871858341,-0.265972689832905,138.648020784482,0.0487012803288061,1.78775717366337,-0.503744031575694,1.73132373576051,0.209018044938724,0.0412326491423597,0.000902250978054131,0.952051988879175,0.954663603185744,0.973366804322691,0.943762255453526,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,-0.381437215892588,-0.677636018801759,-0.18357040824514,0.0184834679551125
2018,1.72693991498241,1133.37838103078,6934.05885898746,0.0143955830568623,-0.296538193238949,138.529586652452,0.0485624739211289,1.81907712010676,-0.526650663087943,1.42548720450555,0.205884257213471,0.0410683195492342,0.000905353906785201,0.914296067982139,0.91827472138318,1.02648534005778,0.911150455510315,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,-0.823452556742022,-1.09383320753302,-0.0611325492656133,0.020815319825573
2019,0.605043549203308,1046.10505279003,6685.53846600499,0.0116584120390318,,136.960909890159,,1.80764731099241,,1.07014033655566,0.202299362310695,0.0416480248218646,0.000896970962818473,0.891320927779645,0.837399682107483,0.695615031584869,0.897879958611364,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,-1.09242664574288,-1.2631934854701,-0.254126882244829,0.0232201417775138
2020,0.377226254597568,940.538031260471,6637.24535105071,0.0161081810114004,-0.343088610745299,136.955905617898,0.0456169913896459,1.81397234722336,-0.605880628492008,1.076380378863,0.202536027859828,0.0420089959728046,0.000915157817454224,0.966293288496492,1.35355569837962,1.25419788367205,0.998437051810734,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,-0.214711765819375,0.0201327819988779,-0.166164294577268,0.0233373834884953
2021,-0.0112241718771156,957.692733877249,6549.36797050235,0.0116971306049213,,135.44467882519,,1.80033232971808,,0.952293309107969,0.201455573179455,0.0429992223763051,0.000922683959256509,1.06311956548627,1.35879126844262,1.36593276779397,1.08453699469973,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,0.918850833369646,1.11895450428112,-0.44593503883969,0.0208557922242582
2022,-0.0788645279422852,986.14633292392,6536.35565493797,0.00899850333340178,,133.911648344405,,1.79833521723812,,0.796918637254197,0.200012907697044,0.0458414887424271,0.000906555070684074,1.10558638342418,1.14718699100205,1.18570089401225,1.12304167226299,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,1.41601749119816,1.61035757257971,0.00332207080279174,0.0250892738020045
2023,1.72142728719192,1077.58112563596,6938.09995481976,0.00691371133271045,,130.446597304765,,1.76487128347222,,0.858042947448771,0.200864630303622,0.0514530255554482,0.00090459737775321,1.14986479037873,1.2594943864071,1.24787737483051,1.19128560526778,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,1.93439274671523,2.48129794121976,0.5811536713479,0.040738594770865
